"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","stim_order","rt","stimulus","response","participantId","interview_date","handedness","version","difficulty","stimulus_set","selected_stim","index","deck_probabilities","key_press","reward_type","reversal_type","reward_tally","phase","total_earnings"
"true","false","[]","[]","[]","preload","0","9","0.0-0.0","[""cat"",""rabbit"",""dog""]","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","3815","0.0-1.0","[""cat"",""rabbit"",""dog""]","3804","
        <div style=""background-color:red; padding:10px "">
        <p style=""color:white"">Welcome to the experiment!</p>
        <p style=""color:white"">Press any key to begin.</p>
        </div>","g","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8076","0.0-2.0","[""cat"",""rabbit"",""dog""]","4260","
        <p>You will now play several rounds of a game.</p> 
        <p>You will be given a starting pool of <b> 8000 </b> points and your goal is to avoid losing points during the rounds.</p>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","11173","0.0-3.0","[""cat"",""rabbit"",""dog""]","3096","
        <p>Your points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points, so please do your best. </p> 
        <p>You can earn a maximum bonus of <b> $4 </b> at the end of these rounds.</p> 
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","14786","0.0-4.0","[""cat"",""rabbit"",""dog""]","3611","
        <p>In this game, you will see three kinds of animals. On each turn you will pick one of them.</p>
        <p>You can select an animal using the <i>1</i>, <i>2</i>, or <i>3</i> keys on your keyboard to pick the <i>left</i>, <i>middle</i>, or <i>right</i> animal respectively.</p>
        <p>Let's practice selecting an animal.</p>
        <p>Pick the <strong>left</strong> animal by pressing the <strong>1</strong> key.
        <div class='image-container'>
            <img class='stimuli-left' src='stim/loss/8/catsquare.jpg'>
            <img class='stimuli-middle' src='stim/loss/8/rabbitsquare.jpg'>
            <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
        </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","15820","0.0-5.0","[""cat"",""rabbit"",""dog""]","1032","
        <p>Great! Now pick the <strong>middle</strong> animal by pressing the <strong>2</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/loss/8/catsquare.jpg'>
            <img class='stimuli-middle' src='stim/loss/8/rabbitsquare.jpg'>
            <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
        </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16496","0.0-6.0","[""cat"",""rabbit"",""dog""]","674","
        <p>Excellent! Now pick the <strong>right</strong> animal by pressing the <strong>3</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/loss/8/catsquare.jpg'>
            <img class='stimuli-middle' src='stim/loss/8/rabbitsquare.jpg'>
            <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
        </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","19305","0.0-7.0","[""cat"",""rabbit"",""dog""]","2807","
        <p>Good job! You have successfully practiced selecting animals.</p>
        <p>Some animals lead to a better outcome than others.</p>
        <p>An animal can either take away <b> -50 </b> points or allow you to <b> keep </b> points.</p>
        <p>Below you can see what those outcomes look like:</p>
        <div class='outcome-container'>
        <img class='outcome-right' src='stim/loss/outcome/squared_lose.png'>
        <img class='outcome-left' src='stim/loss/outcome/squared_win.png'>;
        </div>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","20455","0.0-8.0","[""cat"",""rabbit"",""dog""]","1150","
        <p>Your job is to figure out which animal is the best choice, so that you can keep as many points as possible.</p>
        <p>Your remaining points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points at the end of the game.</p>
        <p>Please press the zero (0) key to continue.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","22075","0.0-9.0","[""cat"",""rabbit"",""dog""]","1618","
        <p>However, there is one final catch:</p>
        <p><b>There may be times when the best animal will change!</b></p>
        <p>If you think the best animal has changed from what it was before, then try to find out the new best animal to avoid losing points.</p>
        <p>Please press the zero (0) key to continue.","0","","","","","","","","","","","","","","",""
